Locus,Het,FST
369,0.16974317,0.01145281
370,0.16974317,0.01145281
371,0.15305487,0.06501641
372,0.09757292,0.07812719
373,0.14681412,0.07625768
374,0.12501755,0.02282589
375,0.17105197,0.07140886
376,0.15348783,0.0194326
377,0.51983638,0.0999261
378,0.19280304,0.05004637
379,0.12942492,0.0470322
380,0.41488427,0.06298612
381,0.15803985,0.14700931
382,0.18303345,0.16494612
383,0.41837877,0.3945501
384,0.28098988,0.09854292
385,0.38994004,0.06115332
386,0.40143425,0.04534751
387,0.40143425,0.04534751
388,0.40143425,0.04534751
389,0.12545302,0.10697088
390,0.27893193,0.1243842
391,0.43844583,0.08417929
392,0.27975855,0.12777264
393,0.13140482,0.15402859
394,0.12198651,0.06822935
395,0.10611864,0.00472393
396,0.10980759,0.02630732
397,0.2600209,0.13139527
398,0.11131099,0.01786495
399,0.15450707,0.03962724
400,0.13424054,0.05327326
401,0.27291962,0.11654609
402,0.13037129,0.0688458
403,0.10346517,0.03013135
404,0.22511035,0.00400831
405,0.10079327,0.03792962
406,0.10079551,0.04962599
407,0.28909043,0.03971192
408,0.25410035,0.11405694
409,0.25900436,0.10698701
410,0.50235809,0.02509055
411,0.33101343,0.042976
412,0.48684898,0.08735424
413,0.17029824,0.00588511
414,0.12546559,0.0732945
415,0.16088548,0.06076845
416,0.21727824,0.02719768
417,0.32320033,0.14472155
418,0.18587444,0.06086909
419,0.18649786,0.06038343
420,0.35658787,0.11798034
421,0.12391273,0.05427348
422,0.18433265,0.21632852
423,0.1324744,0.14483357
424,0.23946341,0.00189759
425,0.17678318,0.0720811
426,0.13043638,0.12006814
427,0.14153526,0.10944832
428,0.11100801,0.02169848
429,0.32547423,0.16719736
430,0.13430143,0.11590508
431,0.19507425,0.08880795
432,0.11481594,0.10096361
433,0.28882866,0.14684341
434,0.20208566,0.05712719
435,0.13898069,0.19805973
436,0.26229567,0.03372812
437,0.26229567,0.03372812
438,0.14707593,0.02992575
439,0.12730756,0.07826802
440,0.19800315,0.0767183
441,0.24652211,0.22266205
442,0.49937476,0.00507312
443,0.25202642,0.04052735
444,0.50343794,0.02869919
445,0.2236864,0.02085985
446,0.15499196,0.05496216
447,0.2409194,0.0279356
448,0.23852049,0.00804494
449,0.1193735,0.04550982
450,0.12224224,0.05072316
451,0.09858903,0.00481874
452,0.2170662,0.01068262
453,0.21878229,0.0173508
454,0.24095792,0.27358095
455,0.14588324,0.09662779
456,0.23579752,0.00498115
457,0.12216622,0.00687699
458,0.44921249,0.00519876
459,0.1054293,0.06650536
460,0.11326369,0.08474771
461,0.42667787,0.04478852
462,0.14876798,0.05281853
463,0.49821218,0.0053158
464,0.49802376,0.04568031
465,0.15760119,0.0319743
466,0.18592831,0.01913697
467,0.21834314,0.0817524
468,0.33936701,0.09427063
469,0.33936701,0.09427063
470,0.27721319,0.00004391
471,0.31218471,0.33700475
472,0.31218471,0.33700475
473,0.49781539,0.01887851
474,0.13550797,0.02529548
475,0.23527999,0.06917396
476,0.32488641,0.02733102
477,0.23122724,0.10293417
478,0.29410978,0.00342738
479,0.29410978,0.00342738
480,0.14984891,0.03121267
481,0.12164386,0.02425122
482,0.45831852,0.08682095
483,0.11208627,0.05496338
484,0.18973418,0.07807281
485,0.41833261,0.01119831
486,0.20028104,0.05830793
487,0.1514112,0.03582438
488,0.11556911,0.0421601
489,0.10045281,0.03705871
490,0.21661306,0.11797223
491,0.13348397,0.11009542
492,0.50894317,0.04503457
493,0.10044917,0.05815825
494,0.11844337,0.10486505
495,0.35276164,0.21400183
496,0.16296132,0.07641963
497,0.23105457,0.19081124
498,0.46192141,0.2706301
499,0.46586685,0.10191986
500,0.15412024,0.09986821
501,0.54294701,0.21138734
502,0.39035077,0.1290249
503,0.14693276,0.06535548
504,0.54286131,0.21369446
505,0.22155389,0.03131423
506,0.24876949,0.0651791
507,0.19950439,0.2015787
508,0.19350834,0.07748147
509,0.10256129,0.01988569
510,0.15059148,0.19132603
511,0.24763715,0.05815436
512,0.2390713,0.1526737
513,0.15716573,0.00341222
514,0.40947546,0.1303329
515,0.44085031,0.00421325
516,0.44085031,0.00421325
517,0.11933284,0.0430451
518,0.30651265,0.0805813
519,0.40345416,0.2136547
520,0.17353999,0.02299564
521,0.22430443,0.02976961
522,0.13597885,0.19025757
523,0.51059365,0.04261918
524,0.42435471,0.04751288
525,0.42435471,0.04751288
526,0.38389705,0.47263626
527,0.13912578,0.01387575
528,0.47924192,0.00760459
529,0.13912578,0.01387575
530,0.20978293,0.0950147
531,0.11019376,0.02805358
532,0.46113024,0.00883044
533,0.13341104,0.04348894
534,0.11150128,0.03590496
535,0.14753851,0.05973261
536,0.238099,0.18793422
537,0.20870369,0.00942375
538,0.20544769,0.01002655
539,0.13493517,0.04907691
540,0.12543085,0.11034068
541,0.24750338,0.14438931
542,0.44666651,0.00055131
543,0.44666651,0.00055131
544,0.16417129,0.07779317
545,0.22107863,0.0040928
546,0.19306292,0.14030562
547,0.36947548,0.14788809
548,0.400844,0.11525467
549,0.10067922,0.04248995
550,0.38476631,0.00699045
551,0.10988454,0.06911984
552,0.1334589,0.08541519
553,0.22674209,0.09771634
554,0.10024083,0.05014303
555,0.51595485,0.19317932
556,0.22562493,0.00049235
557,0.51656349,0.17799654
558,0.51656349,0.17799654
559,0.27414604,0.10549053
560,0.18083797,0.16510374
561,0.49095309,0.00028606
562,0.2971242,0.0931063
563,0.20669474,0.12374838
564,0.3272996,0.19153107
565,0.15417915,0.03155849
566,0.49745514,0.04804231
567,0.38300095,0.00217901
568,0.50469452,0.05632639
569,0.16507065,0.04654854
570,0.13269622,0.09608605
571,0.13269622,0.09608605
572,0.49044213,0.2623399
573,0.4932088,0.26510826
574,0.20934863,0.05204884
575,0.29841586,0.0380988
576,0.14079689,0.14267623
577,0.18973396,0.01787651
578,0.1358729,0.00926875
579,0.25465319,0.03067356
580,0.1358729,0.00926875
581,0.27225525,0.00661091
582,0.20695726,0.15750661
583,0.09900491,0.01665268
584,0.25204328,0.22583994
585,0.5027036,0.04650708
586,0.35458651,0.09461508
587,0.25474745,0.14041213
588,0.35508403,0.24533951
589,0.25150249,0.00993378
590,0.47522768,0.02206185
591,0.38056045,0.12913102
592,0.17654144,0.00169784
593,0.49838866,0.11144738
594,0.27789768,0.08061047
595,0.45804827,0.00366154
596,0.33487781,0.00046999
597,0.36692523,0.11834367
598,0.50078999,0.02064341
599,0.49720157,0.01813157
600,0.13809657,0.04918431
601,0.40103759,0.02025924
602,0.41905327,0.13077109
603,0.20213718,0.15095425
604,0.11367318,0.04328983
605,0.27776476,0.32002727
606,0.46408828,0.05503382
607,0.25443285,0.16640042
608,0.12310957,0.10964394
609,0.14079612,0.12615584
610,0.50194653,0.01078207
611,0.4571529,0.05144499
612,0.17617965,0.00803225
613,0.11276418,0.04544727
614,0.15219648,0.05934621
615,0.48957762,0.11505727
616,0.15761482,0.01509468
617,0.10210443,0.07287369
618,0.54704891,0.19949067
619,0.10534041,0.05224395
620,0.10534041,0.05224395
621,0.15513249,0.05983158
622,0.29396023,0.01772332
623,0.19038918,0.00477812
624,0.32170007,0.01004246
625,0.37759296,0.0795774
626,0.41745453,0.1376976
627,0.23573236,0.22767547
628,0.22406803,0.0725084
629,0.24877631,0.21957685
630,0.0997628,0.04200569
631,0.16479921,0.0745042
632,0.50440329,0.04138486
633,0.11670054,0.06976186
634,0.244358,0.11869713
635,0.29111674,0.12106916
636,0.14359808,0.05487266
637,0.20959384,0.04904057
638,0.12911644,0.00098662
639,0.12987434,0.1596739
640,0.1061586,0.043552
641,0.34706369,0.01570542
642,0.45244203,0.23577809
643,0.35712305,0.08662733
644,0.27719417,0.02857218
645,0.13600402,0.02998396
646,0.38404879,0.00399834
647,0.14799205,0.08174502
648,0.10572772,0.04609161
649,0.2372186,0.02568543
650,0.09759176,0.04017458
651,0.20356542,0.04827625
652,0.14876788,0.00155797
653,0.19963068,0.00155997
654,0.19963068,0.00155997
655,0.14444651,0.07675813
656,0.19963068,0.00155997
657,0.17275807,0.15647834
658,0.10288477,0.03777576
659,0.34749882,0.02708537
660,0.2448189,0.00956588
661,0.37564978,0.09248219
662,0.53830369,0.18625118
663,0.41426647,0.0383147
664,0.34949766,0.05232554
665,0.17603361,0.04860726
666,0.17603361,0.04860726
667,0.39923554,0.00152622
668,0.10405872,0.09426647
669,0.30387223,0.0781437
670,0.2584099,0.08312258
671,0.18018293,0.1936169
672,0.2900482,0.0095633
673,0.35491186,0.05068448
674,0.42513927,0.15663959
675,0.47559505,0.21350457
676,0.09691958,0.01878108
677,0.23412564,0.26969083
678,0.25565007,0.00625644
679,0.45124792,0.05749178
680,0.18595306,0.00519303
681,0.28917623,0.06841648
682,0.4273092,0.18182886
683,0.10914822,0.05516354
684,0.49883259,0.12958279
685,0.15351714,0.18976583
686,0.11996829,0.04450415
687,0.22030505,0.21857932
688,0.22030505,0.21857932
689,0.20079908,0.07397333
690,0.27261058,0.01403673
691,0.32496959,0.1557243
692,0.32496959,0.1557243
693,0.35727097,0.14257341
694,0.10577081,0.03594152
695,0.34387808,0.12713656
696,0.16355,0.13420157
697,0.41975769,0.01391929
698,0.50248885,0.06120629
699,0.45492713,0.09708457
700,0.32724275,0.00394827
701,0.10168322,0.08704096
702,0.13961095,0.02010032
703,0.31140631,0.10970972
704,0.50807957,0.03493463
705,0.17746152,0.04233106
706,0.50193626,0.03157672
707,0.28783644,0.14889738
708,0.19981947,0.08649374
709,0.32117296,0.10113094
710,0.32999141,0.00363185
711,0.16277451,0.11676341
712,0.33648234,0.16649428
713,0.42353284,0.02151634
714,0.10735302,0.11910057
715,0.14272212,0.05227886
716,0.1717919,0.06227383
717,0.33836871,0.14330198
718,0.13187688,0.08461633
719,0.50682261,0.03543838
720,0.39611915,0.0481645
721,0.09603824,0.02410107
722,0.13653992,0.07849023
723,0.16115015,0.0972079
724,0.25184646,0.31741596
725,0.27901041,0.29458612
726,0.30072875,0.13525328
727,0.268917,0.03943802
728,0.50131655,0.05219144
729,0.15408981,0.10967046
730,0.38333209,0.10245077
731,0.53106341,0.11955255
732,0.47251567,0.00131561
733,0.22905956,0.00376609
734,0.10824536,0.15488938
735,0.16741266,0.00534671
736,0.30487751,0.00358838
737,0.30487751,0.00358838
738,0.16996573,0.13646022
739,0.11875726,0.05465823
740,0.17091216,0.05857628
741,0.23400206,0.1170081
742,0.10117998,0.0281892
743,0.34593128,0.04078081
744,0.21614421,0.11839586
745,0.17174754,0.02630804
746,0.17174754,0.02630804
747,0.17880804,0.08848591
748,0.38306538,0.12465878
749,0.16611826,0.10153608
750,0.15352832,0.05593266
751,0.21074344,0.05768628
752,0.51846072,0.11767174
753,0.18311071,0.27040984
754,0.45742214,0.0326892
755,0.44277086,0.06108154
756,0.26027211,0.02417461
757,0.27726743,0.12854507
758,0.27726743,0.12854507
759,0.2337275,0.01903031
760,0.28285818,0.15564469
761,0.19256264,0.00475953
762,0.19256264,0.00475953
763,0.40339441,0.01089948
764,0.10082269,0.0385918
765,0.16397896,0.03945455
766,0.32023211,0.12835536
767,0.4364508,0.02568897
768,0.11838707,0.05784807
769,0.27443001,0.01365956
770,0.11808128,0.09379432
771,0.15504588,0.0336095
772,0.12754725,0.0559642
773,0.13632182,0.02476956
774,0.43420488,0.21401105
775,0.50530676,0.03157762
776,0.17863281,0.08638213
777,0.3693708,0.01629912
778,0.11188851,0.01706824
779,0.12642446,0.09063502
780,0.12642446,0.09063502
781,0.09544256,0.02544687
782,0.17645363,0.03844227
783,0.42416533,0.02329396
784,0.19720131,0.07664241
785,0.25169363,0.06817205
786,0.19257668,0.00581067
787,0.1557316,0.00352573
788,0.26669833,0.0985615
789,0.10134455,0.07168157
790,0.10753259,0.09131261
791,0.15958943,0.03978709
792,0.34001658,0.00854357
793,0.18262056,0.13553358
794,0.18738408,0.00640963
795,0.18738408,0.00640963
796,0.24497807,0.09120329
797,0.43392858,0.0179043
798,0.26495099,0.04548622
799,0.43392858,0.0179043
800,0.43392858,0.0179043
801,0.11088972,0.02823173
802,0.11088972,0.02823173
803,0.24122067,0.24116915
804,0.47258509,0.20172545
805,0.13366239,0.07362304
806,0.47258509,0.20172545
807,0.5061434,0.03150367
808,0.41302641,0.02421926
809,0.41302641,0.02421926
810,0.21548732,0.31400245
811,0.4341626,0.01415741
812,0.17055337,0.12771957
813,0.17055337,0.12771957
814,0.49782014,0.00224937
815,0.23040827,0.04296135
816,0.23040827,0.04296135
817,0.28526583,0.17437941
818,0.10405261,0.03738542
819,0.2877542,0.04098434
820,0.24921539,0.08433715
821,0.14235638,0.12608434
822,0.12390184,0.06471391
823,0.46045307,0.01491363
824,0.1386615,0.15932999
825,0.20803196,0.06206913
826,0.24833611,0.00115822
827,0.3960702,0.2182919
828,0.22564899,0.04905427
829,0.43090385,0.00896463
830,0.20442352,0.13247884
831,0.10202866,0.04811215
832,0.48540054,0.0614174
833,0.13810234,0.0424412
834,0.11318681,0.12017078
835,0.49985564,0.00878219
836,0.47470902,0.17192621
837,0.47924565,0.00598044
838,0.47533308,0.07617783
839,0.21343649,0.07496826
840,0.37439791,0.07326284
841,0.38953631,0.32519182
842,0.20715725,0.06019927
843,0.12710608,0.07298892
844,0.14784296,0.03877856
845,0.10857354,0.0694998
846,0.30681111,0.00834753
847,0.44762549,0.28372626
848,0.26628404,0.00079936
849,0.30681111,0.00834753
850,0.43646504,0.03732996
851,0.13126734,0.13265563
852,0.43316863,0.00044717
853,0.10133969,0.04866428
854,0.18648938,0.18003995
855,0.20372303,0.0695789
856,0.16931306,0.13289511
857,0.19629203,0.08048922
858,0.47255576,0.15714098
859,0.27775326,0.07137913
860,0.52094694,0.13104351
861,0.13570625,0.07317603
862,0.32811693,0.12728777
863,0.32811693,0.12728777
864,0.5368696,0.16894195
865,0.13846223,0.15325245
866,0.23084938,0.02903885
867,0.23396696,0.02810167
868,0.25127579,0.01536771
869,0.15647238,0.0855068
870,0.24382164,0.00184747
871,0.50205681,0.06830225
872,0.13873816,0.07248354
873,0.13563531,0.08043452
874,0.13563531,0.08043452
875,0.13563531,0.08043452
876,0.17880056,0.0920639
877,0.15603045,0.09828366
878,0.51254957,0.15556879
879,0.13237633,0.06673377
880,0.50011446,0.00481497
881,0.2473059,0.0291868
882,0.12739308,0.13113936
883,0.1572482,0.13514002
884,0.42303949,0.088571
885,0.2557341,0.11632166
886,0.2557341,0.11632166
887,0.2557341,0.11632166
888,0.2218013,0.01890251
889,0.15987601,0.01305253
890,0.19805453,0.06381522
891,0.47071181,0.00536707
892,0.25011344,0.05454072
893,0.15149498,0.02562821
894,0.13654611,0.07160287
895,0.18153699,0.00443435
896,0.46297764,0.00449798
897,0.46297764,0.00449798
898,0.46297764,0.00449798
899,0.50832345,0.08652741
900,0.44468557,0.07970572
901,0.14141476,0.04654079
902,0.17179443,0.10015183
903,0.10007671,0.00554869
904,0.16818211,0.13438767
905,0.12883408,0.12020269
906,0.14716864,0.23743136
907,0.33279991,0.02461656
908,0.1599896,0.22923774
909,0.20492041,0.08484481
910,0.11481893,0.10795638
911,0.16194223,0.07923619
912,0.1684231,0.09429358
913,0.43198848,0.21617893
914,0.12261743,0.0423252
915,0.11073729,0.05659562
916,0.38388913,0.00242003
917,0.38388913,0.00242003
918,0.17410386,0.00763264
919,0.20003944,0.03640703
920,0.14833153,0.03814944
921,0.39846536,0.02296002
922,0.5628039,0.28304706
923,0.11100337,0.02488043
924,0.16536998,0.06870662
925,0.15512594,0.08700238
926,0.19879727,0.04679337
927,0.20193235,0.04747441
928,0.26857537,0.00152385
929,0.4438138,0.04123128
930,0.18149162,0.09005914
931,0.18329435,0.00122633
932,0.24666129,0.01610028
933,0.12089942,0.19784861
934,0.21888456,0.04410016
935,0.34037124,0.00991228
936,0.14196402,0.05312003
937,0.14196402,0.05312003
938,0.14985339,0.01449905
939,0.30124592,0.10673345
940,0.12465903,0.03401275
941,0.26981382,0.09157685
942,0.16193651,0.04185902
943,0.16193651,0.04185902
944,0.2676605,0.09904995
945,0.1641819,0.06752047
946,0.3553701,0.35475141
947,0.48508835,0.15693296
948,0.10404476,0.11798732
949,0.15655705,0.06032057
950,0.46017827,0.05977807
951,0.25400204,0.2187537
952,0.49021756,0.00136481
953,0.48957222,0.00698227
954,0.15232027,0.00849384
955,0.19428961,0.21392218
956,0.46240966,0.00231419
957,0.46240966,0.00231419
958,0.23032472,0.12503689
959,0.23040064,0.03096551
960,0.1594077,0.01180889
961,0.1594077,0.01180889
962,0.34693933,0.1436254
963,0.1272655,0.11066435
964,0.13669106,0.12970131
965,0.51899458,0.12412444
966,0.2575762,0.01305513
967,0.29616589,0.12453408
968,0.13316327,0.07396425
969,0.26335252,0.01872782
970,0.24615738,0.01124403
971,0.13501045,0.0949818
972,0.22507495,0.00393423
973,0.1271404,0.06871172
974,0.37492005,0.14567602
975,0.37492005,0.14567602
976,0.37056151,0.14313483
977,0.11915897,0.12296641
978,0.16486931,0.04810989
979,0.16486931,0.04810989
980,0.12035987,0.01052302
981,0.28144319,0.31339933
982,0.28144319,0.31339933
983,0.17701389,0.00587349
984,0.14420364,0.01427171
985,0.15667828,0.00639338
986,0.1518965,0.03441128
987,0.52249039,0.14093466
988,0.49408583,0.005135
989,0.37332724,0.01407164
990,0.13134237,0.1132
991,0.16861497,0.10889512
992,0.13503619,0.00497749
993,0.13325667,0.070329
994,0.18353302,0.00263027
995,0.20335948,0.07562541
996,0.20818733,0.08115755
997,0.37763025,0.16766515
998,0.348135,0.09543644
999,0.21353943,0.02507761
